gui.GUI	private void panelResumoMetricas() 	panelResumoMetricas	B1	0/49
gui.EditRulesWindow	private void GodClass() 	contentPane	B1	0/48
gui.GUI	private void panelComparacaoMetricas() 	panelComparacaoMetricas	B1	0/44
gui.EditRulesWindow	private void LongMethod() 	contentPane	B1	0/32
gui.EditRulesWindow	private void GodClass() 	chckBoxGodClass	B1	0/30
gui.GUI	private void rulesPanel() 	panelImportRegras	B1	0/22
gui.EditRulesWindow	private void LongMethod() 	chckBoxLongMethod	B1	0/20
metrics.CYCLO_method	private void runNestedClasses() 	resultados	B2	0/17
metrics.CYCLO_method	private void runNestedClasses() 	resultados	B3	0/15
metrics.CYCLO_method	private void runNestedClasses() 	resultados	B4	0/13
metrics.CYCLO_method	private void runNestedClasses() 	resultados	B6	0/8
metrics.Loc_Method	private void runMainClass() 	resultados	B2	0/17
metrics.Loc_Method	private void runMainClass() 	resultados	B6	0/10
metrics.Loc_Method	private void runMainClass() 	resultados	B7	0/9
metrics.Loc_Method	private void runMainClass() 	resultados	B11	0/5
metrics.Loc_Method	private void runMainClass() 	resultados	B12	0/4
metrics.Loc_Method	private void runNestedClasses() 	resultados	B2	0/14
metrics.Loc_Method	private void runNestedClasses() 	resultados	B3	0/12
metrics.Loc_Method	private void runNestedClasses() 	resultados	B4	0/11
metrics.Loc_Method	private void runNestedClasses() 	resultados	B8	0/4
central.Central	public void ini() throws java.io.IOException	boolResultClass	B3	0/7
central.Central	public void ini() throws java.io.IOException	boolResultMethod	B3	0/7
metrics.CYCLO_method	private void runMainClass() 	parameters	B4	0/7
metrics.CYCLO_method	private void runMainClass() 	parameters	B5	0/4
metrics.CYCLO_method	private void runMainClass() 	parameters	B6	0/3
metrics.CYCLO_method	private void runNestedClasses() 	parameters	B6	0/7
metrics.CYCLO_method	private void runNestedClasses() 	parameters	B7	0/4
metrics.CYCLO_method	private void runNestedClasses() 	parameters	B8	0/3
metrics.Loc_Method	private void runMainClass() 	parameters	B2	0/7
metrics.Loc_Method	private void runMainClass() 	parameters	B3	0/4
metrics.Loc_Method	private void runMainClass() 	parameters	B4	0/3
metrics.Loc_Method	private void runNestedClasses() 	parameters	B4	0/7
metrics.Loc_Method	private void runNestedClasses() 	parameters	B5	0/4
metrics.Loc_Method	private void runNestedClasses() 	parameters	B6	0/3
gui.EditRulesWindow	private void saveAndApplyButton() 	btnSaveAndApply	B1	0/5
gui.EditRulesWindow	private void saveAndApplyButton() 	fileChooserSave	B1	0/5
gui.EditRulesWindow	private void saveAndApplyButton() 	history	B1	0/5
gui.EditRulesWindow	private void saveAndApplyButton() 	rules	B1	0/5
